Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer
งานใดในโรงพยาบาลที่ Generative AI ทำได้ดีที่สุด,วินิจฉัยโรคแม่นยำ 100%,ช่วยร่างเอกสารและสรุปประวัติ,ผ่าตัดทางไกลแทนหมอ,อนุมัติสั่งจ่ายยากลุ่มควบคุม,20,2
หาก AI เขียนอ้างอิงเปเปอร์ตกลงเราเชื่อได้ทันทีไหม,เชื่อได้ทันที ข้อมูลระดับโลก,เชื่อได้เฉพาะเวอร์ชันที่เสียเงิน,ไม่ควรเชื่อ ต้องตรวจสอบซ้ำเสมอ,ไม่ควรเชื่อ และควรเลิกใช้งานทันที,20,3
AI มโนหรือกุเรื่องเท็จขึ้นมาเองอย่างแนบเนียน เรียกว่าอะไร,AI Error,AI Hallucination,AI Glitch,AI Bug,20,2
ข้อใดเสี่ยงทำความลับคนไข้ (PDPA) รั่วไหลมากที่สุด,พิมพ์เล่าเคสโดยใส่ชื่อและ HN คนไข้,ถามแนวทางการรักษาโรคทั่วไป,ให้ AI แปลแบบฟอร์มยินยอมเปล่าๆ,ให้ AI แต่งกลอนอวยพรวันเกิด ผอ.,20,1
ข้อมูลที่พิมพ์ลง AI เวอร์ชันฟรี มีความเสี่ยงอย่างไร,ข้อมูลจะหายทันทีที่ปิดเว็บบราวเซอร์,ข้อมูลอาจถูกนำไปใช้เทรนโมเดลต่อ,มีเฉพาะหมอในโรงพยาบาลที่เห็น,ข้อมูลจะปลอดภัยไม่มีใครเปิดดูได้,20,2
พิมพ์สั่ง AI สั้นๆ แล้วได้คำตอบกว้างเกินไป แก้ไขอย่างไร,เปลี่ยนไปใช้ AI ตัวอื่น,เพิ่มบริบทและความชัดเจนในคำสั่ง,ส่งซ่อมคอมพิวเตอร์โรงพยาบาล,แจ้งผู้พัฒนาว่า AI ระบบรวน,20,2
เมื่อคนไข้ใช้ข้อมูลจาก AI มาแย้งแผนการรักษา ควรทำอย่างไร,สั่งห้ามคนไข้เชื่อ AI เด็ดขาด,เปลี่ยนแผนการรักษาตามใจคนไข้,รับฟังความกังวลและอธิบายด้วยหลักวิชาการ,ปฏิเสธการรักษาและเชิญออกจากห้อง,20,3
การใช้ AI ช่วยงานวิจัยข้อใด ถูกต้องและมีจริยธรรม,ให้ AI เขียน Abstract แทนทั้งหมด,ใช้ขัดเกลาภาษาจากเนื้อหาจริงของเรา,ให้ AI ปั้นตัวเลขผลแล็บให้,ก๊อปปี้งานคนอื่นให้ AI สรุปแล้วส่ง,20,2
Human-in-the-loop ในการใช้ AI ทางการแพทย์ หมายถึงอะไร,หมอต้องนั่งเฝ้าหน้าจอห้ามลุก,มีหมอตรวจสอบและตัดสินใจขั้นสุดท้าย,การคัดเลือกคนไข้เข้าเครื่อง AI,ให้ AI ตัดสินใจแล้วหมอเซ็นชื่อตาม,20,2
ทัศนคติต่อ AI ที่ดีที่สุดของแพทย์จบใหม่คือข้อใด,ต่อต้านและไม่ยอมรับเทคโนโลยี,ใช้ช่วยลดงานแอดมินแต่ไม่ทิ้งคลินิก,พึ่งพา AI ทุกอย่างจนไม่ทบทวนตำรา,ลาออกเพราะ AI จะแย่งงานทั้งหมด,20,2
