Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer
คุณคิดว่าปัจจุบัน Generative AI (เช่น ChatGPT) สามารถทำสิ่งใดในโรงพยาบาลได้ดีที่สุด,วินิจฉัยโรคหายากได้แม่นยำ 100% โดยไม่ต้องใช้แพทย์,ช่วยร่างเอกสาร สรุปประวัติ หรือคิดไอเดียสื่อสารกับคนไข้,ผ่าตัดคนไข้แทนศัลยแพทย์ผ่านระบบทางไกล,ตัดสินใจจ่ายยาเสพติดให้โทษแทนแพทย์ได้อย่างถูกกฎหมาย,10,2
ถ้า AI เขียนอ้างอิงชื่อเปเปอร์และชื่ออาจารย์แพทย์อย่างละเอียดในคำตอบ เราควรเชื่อทันทีหรือไม่,เชื่อได้ทันที เพราะ AI มีฐานข้อมูลอัปเดตระดับโลก,เชื่อได้ถ้าเป็น AI เวอร์ชันที่ต้องเสียเงินซื้อ,ไม่ควรเชื่อทันที เพราะ AI อาจกุเรื่องขึ้นมาเอง (Hallucination) ต้องเช็ก PubMed ก่อน,ไม่ควรเชื่อ และควรเลิกใช้ AI ตัวนั้นไปเลย,10,3
ในวงการ AI คำว่า Hallucination (ภาพหลอน) หมายถึงพฤติกรรมใดของ AI ที่แพทย์ต้องระวังที่สุด,การที่ระบบ AI เกิดอาการค้างและหน้าจอกะพริบเป็นสีแดง,การที่ AI มโนหรือแต่งข้อมูลดิบ/ผลแล็บ/เคสขึ้นมาเองอย่างแนบเนียน,การที่ AI ปฏิเสธไม่ยอมตอบคำถามเกี่ยวกับโรคติดต่อร้ายแรง,การที่หน้าจอแสดงผลสลับตัวอักษรภาษาไทยเป็นภาษาต่างดาว,10,2
สถานการณ์ใดต่อไปนี้ เสี่ยงต่อการละเมิดกฎหมาย PDPA ของคนไข้มากที่สุด,ให้ AI ช่วยแต่งกลอนอวยพรวันเกิดให้ผู้อำนวยการโรงพยาบาล,ถาม AI เกี่ยวกับแนวทางการรักษาโรคเบาหวานตามมาตรฐานสากล,พิมพ์เล่าเคสคนไข้โดยระบุชื่อ-สกุล และ HN ลงใน AI สาธารณะเพื่อให้ช่วยคิดโรค,ใช้ AI ช่วยแปลใบยินยอมการรับการรักษาที่เป็นฟอร์มเปล่า,10,3
ข้อใดคือความเข้าใจที่ถูกต้องเกี่ยวกับข้อมูลที่เราพิมพ์ลงไปใน AI เวอร์ชันฟรีทั่วไป,ข้อมูลจะถูกลบทันทีที่เราปิดหน้าต่างเบราว์เซอร์,ข้อมูลอาจถูกนำไปใช้เทรน AI ต่อ ทำให้คนภายนอกมีโอกาสเห็นข้อมูลของเราได้,มีเฉพาะแพทย์ในโรงพยาบาลเดียวกันเท่านั้นที่มองเห็นข้อมูลนี้,ข้อมูลทุกอย่างจะถูกเข้ารหัสลับและไม่มีใครเปิดดูได้อีกเลย,10,2
หากคุณพิมพ์สั่ง AI สั้นๆ ว่า ขอแนวทางการรักษาโรคฟันผุ แล้วได้คำตอบกว้างเกินไปเกิดจากอะไร,AI ตัวนี้ไม่มีความรู้เรื่องทันตกรรมเลย,คำสั่ง (Prompt) กว้างเกินไป ขาดบริบท เช่น ไม่ระบุอายุคนไข้หรือความรุนแรง,ระบบคอมพิวเตอร์ของโรงพยาบาลติดไวรัส,AI กำลังแกล้งผู้ใช้งาน,10,2
ถ้าคนไข้เปิดข้อความจาก AI มาแย้งแผนการรักษาของคุณ ยุทธวิธีใดที่แพทย์ควรนำมาใช้,บอกคนไข้ว่าห้ามเชื่อ AI เด็ดขาดเพราะมันเป็นของปลอม,เปลี่ยนแผนการรักษาตามที่ AI บอกทันทีเพื่อตามใจคนไข้,รับฟัง ชวนคุยเพื่อดูความกังวล และอธิบายด้วยหลักวิชาการว่าวิธีของเราเหมาะที่สุด,เชิญคนไข้ให้ออกจากห้องตรวจและปฏิเสธการรักษา,10,3
ข้อใดเป็นวิธีนำ Generative AI มาช่วยงานวิจัยหรือการเรียนต่อได้อย่างปลอดภัยและมีจริยธรรม,ให้ AI เขียนบทคัดย่อ (Abstract) ให้ โดยที่เราไม่ต้องอ่านงานวิจัยชิ้นนั้นเลย,ใช้ AI ช่วยขัดเกลาสำนวนภาษาอังกฤษให้สละสลวยขึ้น จากเนื้อหาที่เราวิจัยเอง,พิมพ์สั่งว่า ช่วยคิดตัวเลขผลการทดลองในห้องแล็บให้หน่อย,คัดลอกบทความจากเว็บอื่นมาให้ AI สรุปแล้วส่งเป็นผลงานตัวเอง,10,2
คำว่า Human-in-the-loop ในการใช้ AI ทางการแพทย์ หมายความว่าอย่างไร,การบังคับให้แพทย์ต้องนั่งเฝ้าหน้าจอคอมพิวเตอร์ห้ามลุกไปไหน,ต้องมี มนุษย์ (แพทย์) คอยตรวจสอบและตัดสินใจขั้นสุดท้ายเสมอ ก่อนนำผลไปใช้กับคนไข้,การเอาคนไข้เข้าไปอยู่ในเครื่องประมวลผลของ AI,การปล่อยให้ AI ตัดสินใจทุกอย่าง แล้วให้แพทย์ทำหน้าที่เซ็นชื่ออย่างเดียว,10,2
ข้อใดสะท้อนทัศนคติที่ดีที่สุดของแพทย์/ทันตแพทย์จบใหม่ ในยุคที่มี AI เข้ามาช่วยทำงาน,ต่อต้านและไม่ยอมรับเทคโนโลยีทุกชนิด เพราะเชื่อว่ามนุษย์เก่งที่สุดแล้ว,เปิดใจเรียนรู้เพื่อช่วยลดงานแอดมิน แต่ยังคงฝึกฝนทักษะทางคลินิกและจริยธรรมเข้มงวด,พึ่งพา AI ทุกอย่างจนไม่ต้องอ่านตำราหรือทบทวนความรู้เองอีกต่อไป,ลาออกไปทำอาชีพอื่นเพราะคิดว่า AI จะมาแย่งงานแพทย์ในอีก 1-2 ปีนี้แน่นอน,10,2
